=== 고용보험 전체 재수집 리포트 (2026-05-14 23:02) ===


[EC 재수집] 수정:1608건, 동일:6건, 오류:1건
[EC 재수집] 전체 인원 합계: 2,935,260 → 1,680,811 (-1,254,449명)

[5% 이상 변화 기업 목록] (1605건):
  삼성카드(029780): 29,221 → 27,191 (-2,030명, 6.9%)
  포스코인터내셔널(047050): 3,759 → 1,744 (-2,015명, 53.6%)
  유신(054930): 4,040 → 2,028 (-2,012명, 49.8%)
  HMM(011200): 2,914 → 967 (-1,947명, 66.8%)
  대웅제약(069620): 3,849 → 1,952 (-1,897명, 49.3%)
  GKL(114090): 3,673 → 1,837 (-1,836명, 50.0%)
  동아지질(028100): 2,180 → 354 (-1,826명, 83.8%)
  엘앤에프(066970): 3,568 → 1,784 (-1,784명, 50.0%)
  서희건설(035890): 5,754 → 3,988 (-1,766명, 30.7%)
  성도이엔지(037350): 4,194 → 2,433 (-1,761명, 42.0%)
  유안타증권(003470): 3,512 → 1,760 (-1,752명, 49.9%)
  KCC건설(021320): 8,510 → 6,787 (-1,723명, 20.2%)
  HD한국조선해양(009540): 3,175 → 1,461 (-1,714명, 54.0%)
  한진(002320): 4,816 → 3,139 (-1,677명, 34.8%)
  금호석유화학(011780): 3,242 → 1,571 (-1,671명, 51.5%)
  한섬(020000): 3,325 → 1,662 (-1,663명, 50.0%)
  보령(003850): 3,319 → 1,660 (-1,659명, 50.0%)
  웅진씽크빅(095720): 14,714 → 13,062 (-1,652명, 11.2%)
  동원시스템즈(014820): 3,290 → 1,644 (-1,646명, 50.0%)
  세방(004360): 3,763 → 2,140 (-1,623명, 43.1%)
  제일기획(030000): 3,142 → 1,540 (-1,602명, 51.0%)
  한국앤컴퍼니(000240): 2,815 → 1,216 (-1,599명, 56.8%)
  서울보증보험(031210): 3,188 → 1,595 (-1,593명, 50.0%)
  수산인더스트리(126720): 2,957 → 1,390 (-1,567명, 53.0%)
  LB세미콘(061970): 3,105 → 1,548 (-1,557명, 50.1%)
  자화전자(033240): 3,100 → 1,562 (-1,538명, 49.6%)
  비에이치(090460): 2,067 → 531 (-1,536명, 74.3%)
  SK네트웍스(001740): 3,068 → 1,533 (-1,535명, 50.0%)
  더존비즈온(012510): 3,351 → 1,822 (-1,529명, 45.6%)
  컴투스(078340): 2,988 → 1,501 (-1,487명, 49.8%)
  LX세미콘(108320): 2,930 → 1,452 (-1,478명, 50.4%)
  신세계 I&C(035510): 3,579 → 2,110 (-1,469명, 41.0%)
  동진쎄미켐(005290): 2,887 → 1,419 (-1,468명, 50.8%)
  대신증권(003540): 2,920 → 1,461 (-1,459명, 50.0%)
  SGC E&C(016250): 4,212 → 2,813 (-1,399명, 33.2%)
  대한전선(001440): 2,826 → 1,436 (-1,390명, 49.2%)
  희림종합건축사사무소(037440): 2,714 → 1,350 (-1,364명, 50.3%)
  대원제약(003220): 2,699 → 1,347 (-1,352명, 50.1%)
  바이넥스(053030): 2,704 → 1,357 (-1,347명, 49.8%)
  하나투어(039130): 2,683 → 1,340 (-1,343명, 50.1%)
  롯데렌탈(주)(089860): 2,645 → 1,324 (-1,321명, 49.9%)
  코리아써키트(007810): 2,640 → 1,320 (-1,320명, 50.0%)
  도이치모터스(067990): 1,624 → 306 (-1,318명, 81.2%)
